Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Delhi,Azadpur,Litchi,Other,Medium,2000,8500,5560,18-Jun-14
2,Delhi,Azadpur,Litchi,Other,Medium,2333,8000,5571,17-Jun-14
3,Delhi,Azadpur,Litchi,Other,Medium,1000,8000,5519,16-Jun-14
4,Delhi,Azadpur,Litchi,Other,Medium,2667,8000,5119,14-Jun-14
5,Delhi,Azadpur,Litchi,Other,Medium,2667,7500,4576,13-Jun-14
6,Delhi,Azadpur,Litchi,Other,Medium,2333,8000,5148,12-Jun-14
7,Delhi,Azadpur,Litchi,Other,Medium,2333,8500,5538,11-Jun-14
8,Delhi,Azadpur,Litchi,Other,Medium,2667,7500,5590,9-Jun-14
9,Delhi,Azadpur,Litchi,Other,Small,2333,8000,5733,7-Jun-14
10,Delhi,Azadpur,Litchi,Other,Medium,2667,8000,5650,6-Jun-14
11,Delhi,Azadpur,Litchi,Other,Medium,3333,8500,5826,5-Jun-14
12,Delhi,Azadpur,Litchi,Other,Medium,2667,9000,5938,4-Jun-14
13,Delhi,Azadpur,Litchi,Other,Medium,2667,10000,6452,3-Jun-14
